Margao Navtara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BillWise_Sales(2025.03.01--2025.03.31),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated On : 2025-04-16 01:09:36 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deployment,Bill No.,Advance Number,Order Id,Bill Date,Bill Open Time,Print Time,Close Time,Tab Name,Table No.,Covers,Sales,Discount,Net Sales,Gross Bill Amount,Packaging Charge [CART - SWIGGY],CGST,SGST,BEVERAGE,FOOD,CGST_Ecom@2.5%,SGST_Ecom@2.5%,NA,Total Service Charge,Round Off,Cash,Credit Card,Debit Card,Coupon,BTC,TTR,Smart Card,Swiggy,PhonePe -Offline,Total Tip,Offer Code,
Margao Navtara,24-25/T1-156083,-,199789893053414,2025-03-01,02:41:52 PM,02:50:14 PM,03:45:36 PM,SWIGGY,NA,-,236.00,60.00,176.00,186.50,10.00,0.25,0.25,176.00,0,0,0,0,0.00,0.50,0,0,0,0,0,0,0,187.00,0,0,-,
Margao Navtara,24-25/T1-156088,-,199790647544087,2025-03-01,02:54:53 PM,03:07:11 PM,03:45:40 PM,SWIGGY,NA,-,268.00,60.00,208.00,218.50,10.00,0.25,0.25,0,208.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,219.00,0,0,-,
Margao Navtara,24-25/T1-156092,-,199791859972824,2025-03-01,03:14:53 PM,03:34:58 PM,04:25:07 PM,SWIGGY,NA,-,198.00,59.40,138.60,149.10,10.00,0.25,0.25,41.30,97.30,0,0,0,0.00,-0.10,0,0,0,0,0,0,0,149.00,0,0,-,
Margao Navtara,24-25/T1-156096,-,199792856216046,2025-03-01,03:31:53 PM,03:43:49 PM,04:25:11 PM,SWIGGY,NA,-,218.00,60.00,158.00,168.50,10.00,0.25,0.25,79.00,79.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,169.00,0,0,-,
Margao Navtara,24-25/T1-156101,-,199795369153380,2025-03-01,04:13:56 PM,04:27:13 PM,04:43:49 PM,SWIGGY,NA,-,245.00,60.00,185.00,195.50,10.00,0.25,0.25,0,185.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,196.00,0,0,-,
Margao Navtara,24-25/T1-156102,-,199795605688062,2025-03-01,04:17:56 PM,04:46:21 PM,04:48:08 PM,SWIGGY,NA,-,490.00,100.00,390.00,400.50,10.00,0.25,0.25,0,390.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,401.00,0,0,-,
Margao Navtara,24-25/T1-156107,-,199797449222135,2025-03-01,04:47:56 PM,05:02:26 PM,05:25:24 PM,SWIGGY,NA,-,327.00,60.00,267.00,277.50,10.00,0.25,0.25,0,267.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,278.00,0,0,-,
Margao Navtara,24-25/T1-156113,-,199799068463685,2025-03-01,05:15:18 PM,05:25:51 PM,06:18:08 PM,SWIGGY,NA,-,415.00,74.99,340.01,350.51,10.00,0.25,0.25,0,340.01,0,0,0,0.00,0.49,0,0,0,0,0,0,0,351.00,0,0,-,
Margao Navtara,24-25/T1-156127,-,199802752439920,2025-03-01,06:17:22 PM,06:29:22 PM,07:09:08 PM,SWIGGY,NA,-,188.00,56.40,131.60,142.10,10.00,0.25,0.25,0,131.60,0,0,0,0.00,-0.10,0,0,0,0,0,0,0,142.00,0,0,-,
Margao Navtara,24-25/T1-156130,-,199803544879224,2025-03-01,06:29:22 PM,06:48:56 PM,07:09:12 PM,SWIGGY,NA,-,228.00,59.99,168.00,178.50,10.00,0.25,0.25,0,168.01,0,0,0,0.00,0.50,0,0,0,0,0,0,0,179.00,0,0,-,
Margao Navtara,24-25/T1-156131,-,199803692088075,2025-03-01,06:32:22 PM,06:43:20 PM,07:09:16 PM,SWIGGY,NA,-,336.00,59.99,276.00,286.50,10.00,0.25,0.25,80.50,195.51,0,0,0,0.00,0.50,0,0,0,0,0,0,0,287.00,0,0,-,
Margao Navtara,24-25/T1-156132,-,199804022049543,2025-03-01,06:38:23 PM,06:51:07 PM,07:09:20 PM,SWIGGY,NA,-,206.00,59.99,146.01,156.51,10.00,0.25,0.25,0,146.01,0,0,0,0.00,0.49,0,0,0,0,0,0,0,157.00,0,0,-,
Margao Navtara,24-25/T1-156136,-,199806898956651,2025-03-01,07:25:24 PM,07:48:06 PM,07:54:24 PM,SWIGGY,NA,-,307.00,59.99,247.00,257.50,10.00,0.25,0.25,0,247.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,258.00,0,0,-,
Margao Navtara,24-25/T1-156141,-,199807392917279,2025-03-01,07:34:26 PM,07:57:26 PM,08:22:24 PM,SWIGGY,NA,-,358.00,75.00,283.00,293.50,10.00,0.25,0.25,0,283.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,294.00,0,0,-,
Margao Navtara,24-25/T1-156142,-,199807501567546,2025-03-01,07:35:28 PM,07:50:09 PM,08:05:01 PM,SWIGGY,NA,-,258.00,60.00,198.00,208.50,10.00,0.25,0.25,198.00,0,0,0,0,0.00,0.50,0,0,0,0,0,0,0,209.00,0,0,-,
Margao Navtara,24-25/T1-156144,-,199807901050223,2025-03-01,07:42:27 PM,07:57:31 PM,08:22:27 PM,SWIGGY,NA,-,358.00,75.00,283.00,293.50,10.00,0.25,0.25,0,283.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,294.00,0,0,-,
Margao Navtara,24-25/T1-156146,-,199808320645752,2025-03-01,07:49:43 PM,08:00:11 PM,08:22:31 PM,SWIGGY,NA,-,278.00,60.00,218.00,228.50,10.00,0.25,0.25,0,218.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,229.00,0,0,-,
Margao Navtara,24-25/T1-156147,-,199808717173428,2025-03-01,07:55:43 PM,08:04:51 PM,08:22:35 PM,SWIGGY,NA,-,239.00,60.00,179.00,189.50,10.00,0.25,0.25,0,179.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,190.00,0,0,-,
Margao Navtara,24-25/T1-156151,-,199809031635981,2025-03-01,08:02:43 PM,08:17:59 PM,08:30:07 PM,SWIGGY,NA,-,407.00,74.99,332.01,342.51,10.00,0.25,0.25,0,332.01,0,0,0,0.00,0.49,0,0,0,0,0,0,0,343.00,0,0,-,
Margao Navtara,24-25/T1-156152,-,199809162672102,2025-03-01,08:03:43 PM,08:15:00 PM,09:00:13 PM,SWIGGY,NA,-,238.00,59.99,178.00,188.50,10.00,0.25,0.25,0,178.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,189.00,0,0,-,
Margao Navtara,24-25/T1-156155,-,199810570899834,2025-03-01,08:26:44 PM,08:40:02 PM,10:23:51 PM,SWIGGY,NA,-,129.00,0.00,129.00,139.50,10.00,0.25,0.25,0,129.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,140.00,0,0,-,
Margao Navtara,24-25/T1-156156,-,199810768966275,2025-03-01,08:29:44 PM,08:49:36 PM,09:09:08 PM,SWIGGY,NA,-,423.00,75.00,348.00,358.50,10.00,0.25,0.25,0,348.02,0,0,0,0.00,0.50,0,0,0,0,0,0,0,359.00,0,0,-,
Margao Navtara,24-25/T1-156160,-,199811290584834,2025-03-01,08:39:44 PM,08:56:13 PM,09:09:13 PM,SWIGGY,NA,-,317.00,59.99,257.01,267.51,10.00,0.25,0.25,0,257.02,0,0,0,0.00,0.49,0,0,0,0,0,0,0,268.00,0,0,-,
Margao Navtara,24-25/T1-156162,-,199811870874680,2025-03-01,08:48:44 PM,09:03:31 PM,09:15:02 PM,SWIGGY,NA,-,278.00,60.00,218.00,228.50,10.00,0.25,0.25,0,218.00,0,0,0,0.00,0.50,0,0,0,0,0,0,0,229.00,0,0,-,
